row_index,path,word_count,section_count,avg_sentence_length,figure_count,table_count,complexity_score,domain
18,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0018.pdf,9059,96,20.4,16,1,0.3948,bio_medical
19,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0019.pdf,6172,110,16.38,9,0,0.3771,bio_medical
20,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0020.pdf,7875,48,20.43,12,1,0.4214,bio_medical
21,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0021.pdf,9976,67,18.24,17,3,0.4485,bio_medical
22,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0022.pdf,7559,52,15.58,15,5,0.4124,bio_medical
23,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0023.pdf,11972,46,19.04,5,0,0.4103,bio_medical
24,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0024.pdf,13058,53,16.49,8,8,0.4149,bio_medical
25,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0025.pdf,8281,99,16.5,4,7,0.4508,bio_medical
26,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0026.pdf,6802,46,18.91,2,1,0.4626,bio_medical
27,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0027.pdf,7362,92,17.91,8,6,0.4602,bio_medical
28,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0028.pdf,6017,89,16.59,16,4,0.4123,bio_medical
29,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0029.pdf,46211,52,15.67,2,1,0.4675,cs
30,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0030.pdf,46978,44,11.4,5,0,0.428,cs
31,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0031.pdf,13531,107,15.94,18,1,0.4551,bio_medical
32,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0032.pdf,6556,70,17.42,9,0,0.4319,bio_medical
33,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0033.pdf,10781,106,16.9,10,3,0.437,bio_medical
34,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0034.pdf,8175,90,15.79,11,7,0.4016,bio_medical
35,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0035.pdf,6594,41,17.75,5,1,0.4238,bio_medical
36,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0036.pdf,7085,84,20.29,9,5,0.3985,bio_medical
37,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0037.pdf,10450,78,18.67,18,0,0.4368,bio_medical
38,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0038.pdf,13632,53,20.63,6,4,0.3815,bio_medical
39,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0039.pdf,10532,59,16.63,8,5,0.3904,bio_medical
40,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0040.pdf,8162,104,17.93,3,1,0.4334,bio_medical
41,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0041.pdf,6361,40,17.0,6,4,0.3862,bio_medical
42,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0042.pdf,11780,94,18.37,5,1,0.4645,bio_medical
43,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0043.pdf,7221,109,15.22,13,8,0.3848,bio_medical
44,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0044.pdf,8525,86,20.39,3,5,0.391,bio_medical
45,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0045.pdf,6842,85,19.68,15,2,0.4626,bio_medical
46,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0046.pdf,7331,62,20.29,2,2,0.4437,bio_medical
47,sampling-project/results/sampling-results/pools/stratifier_stress_seed42/doc_0047.pdf,13625,92,19.81,9,4,0.3859,bio_medical
